appendix_table,caption,row_label,column_position,estimate,std_error,significance_marker,interval_first,interval_second,interval_low,interval_high,interval_printed_descending
1,Table 1: Average treatment effects at Wave 1 among all subjects,Biden wears wire at debate Panel 2 (MTurk) no,1,-0.78,2.05,,3.25,-4.8,-4.8,3.25,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Biden wears wire at debate Panel 2 (MTurk) no,2,-4.7,2.14,*,-8.91,-0.5,-8.91,-0.5,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Biden wears wire at debate Panel 2 (MTurk) yes,1,1.61,1.72,,4.99,-1.77,-1.77,4.99,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Biden wears wire at debate Panel 2 (MTurk) yes,2,-7.1,1.72,,-10.47,-3.73,-10.47,-3.73,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Trump holds Bible upside down Panel 2 (MTurk) no,1,5.08,1.79,*,8.59,1.57,1.57,8.59,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Trump holds Bible upside down Panel 2 (MTurk) no,2,-21.16,1.97,,-25.02,-17.29,-25.02,-17.29,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Trump holds Bible upside down Panel 2 (MTurk) yes,1,5.45,1.72,*,8.82,2.09,2.09,8.82,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Trump holds Bible upside down Panel 2 (MTurk) yes,2,-21.15,1.81,,-24.71,-17.6,-24.71,-17.6,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Trump responsible for all Covid deaths Panel 2 (MTurk) no,1,3.04,2.24,,7.43,-1.35,-1.35,7.43,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Trump responsible for all Covid deaths Panel 2 (MTurk) no,2,-9.29,2.28,,-13.76,-4.81,-13.76,-4.81,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Trump responsible for all Covid deaths Panel 2 (MTurk) yes,1,2.03,2.01,,5.97,-1.91,-1.91,5.97,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Trump responsible for all Covid deaths Panel 2 (MTurk) yes,2,-9.54,1.95,,-13.37,-5.71,-13.37,-5.71,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,A black man invented the light bulb Panel 1 (MTurk) no,1,5.9,2.12,*,10.06,1.73,1.73,10.06,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,A black man invented the light bulb Panel 1 (MTurk) no,2,-5.15,2.13,*,-9.34,-0.97,-9.34,-0.97,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,A black man invented the light bulb Panel 1 (MTurk) yes,1,4.94,1.63,*,8.14,1.75,1.75,8.14,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,A black man invented the light bulb Panel 1 (MTurk) yes,2,-4.04,1.63,*,-7.22,-0.85,-7.22,-0.85,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Antifa start West Coast wildfires Panel 1 (MTurk) no,1,3.48,2.19,,7.78,-0.82,-0.82,7.78,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Antifa start West Coast wildfires Panel 1 (MTurk) no,2,-1.96,2.21,,-6.3,2.38,-6.3,2.38,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Antifa start West Coast wildfires Panel 1 (MTurk) yes,1,3.52,1.56,*,6.59,0.46,0.46,6.59,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Antifa start West Coast wildfires Panel 1 (MTurk) yes,2,-4.69,1.55,*,-7.72,-1.66,-7.72,-1.66,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,SARS-CoV-2 man made virus created in the lab Panel 1 (MTurk) no,1,1.58,2.08,,5.66,-2.51,-2.51,5.66,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,SARS-CoV-2 man made virus created in the lab Panel 1 (MTurk) no,2,-3.87,2.14,,-8.06,0.33,-8.06,0.33,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,SARS-CoV-2 man made virus created in the lab Panel 1 (MTurk) yes,1,2.87,1.66,,6.13,-0.39,-0.39,6.13,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,SARS-CoV-2 man made virus created in the lab Panel 1 (MTurk) yes,2,-3.92,1.64,*,-7.14,-0.69,-7.14,-0.69,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,A black man invented the light bulb Panel 1 (Lucid) no,1,8.59,2.03,,12.58,4.6,4.6,12.58,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,A black man invented the light bulb Panel 1 (Lucid) no,2,-2.68,2.06,,-6.72,1.35,-6.72,1.35,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,A black man invented the light bulb Panel 1 (Lucid) yes,1,9.52,1.83,,13.12,5.93,5.93,13.12,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,A black man invented the light bulb Panel 1 (Lucid) yes,2,-4.49,1.86,*,-8.13,-0.85,-8.13,-0.85,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Antifa start West Coast wildfires Panel 1 (Lucid) no,1,8.55,1.96,,12.39,4.7,4.7,12.39,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Antifa start West Coast wildfires Panel 1 (Lucid) no,2,-10.72,1.96,,-14.57,-6.88,-14.57,-6.88,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Antifa start West Coast wildfires Panel 1 (Lucid) yes,1,7.38,1.71,,10.74,4.02,4.02,10.74,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Antifa start West Coast wildfires Panel 1 (Lucid) yes,2,-11.59,1.74,,-15.01,-8.17,-15.01,-8.17,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,SARS-CoV-2 man made virus created in the lab Panel 1 (Lucid) no,1,6.87,2.15,*,11.09,2.64,2.64,11.09,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,SARS-CoV-2 man made virus created in the lab Panel 1 (Lucid) no,2,-11.01,2.13,,-15.19,-6.83,-15.19,-6.83,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,SARS-CoV-2 man made virus created in the lab Panel 1 (Lucid) yes,1,5.78,1.93,*,9.56,2,2,9.56,TRUE
1,Table 1: Average treatment effects at Wave 1 among all subjects,SARS-CoV-2 man made virus created in the lab Panel 1 (Lucid) yes,2,-10.12,1.88,,-13.81,-6.43,-13.81,-6.43,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Meta-analysis Meta-analysis no,1,4.12,1.19,*,1.8,6.44,1.8,6.44,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Meta-analysis Meta-analysis no,2,-10.51,1.27,*,-13.01,-8.02,-13.01,-8.02,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Meta-analysis Meta-analysis yes,1,4.3,1.07,*,2.21,6.4,2.21,6.4,FALSE
1,Table 1: Average treatment effects at Wave 1 among all subjects,Meta-analysis Meta-analysis yes,2,-10.52,1.14,*,-12.75,-8.28,-12.75,-8.28,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,GOP voters’ pens invisible to voting machines Panel 7 (Lucid) Democrat no,1,10.42,2.68,*,15.68,5.17,5.17,15.68,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,GOP voters’ pens invisible to voting machines Panel 7 (Lucid) Democrat no,2,-9.79,2.87,*,-15.43,-4.15,-15.43,-4.15,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,GOP voters’ pens invisible to voting machines Panel 7 (Lucid) Democrat yes,1,7.78,2.56,*,12.81,2.75,2.75,12.81,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,GOP voters’ pens invisible to voting machines Panel 7 (Lucid) Democrat yes,2,-8.28,2.71,*,-13.6,-2.96,-13.6,-2.96,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,USPS fails to deliver 27% of mail ballots in South FL Panel 7 (Lucid) Democrat no,1,4.14,2.66,,9.36,-1.08,-1.08,9.36,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,USPS fails to deliver 27% of mail ballots in South FL Panel 7 (Lucid) Democrat no,2,-14.73,2.82,*,-20.26,-9.2,-20.26,-9.2,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,USPS fails to deliver 27% of mail ballots in South FL Panel 7 (Lucid) Democrat yes,1,3.61,2.55,,8.62,-1.4,-1.4,8.62,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,USPS fails to deliver 27% of mail ballots in South FL Panel 7 (Lucid) Democrat yes,2,-13.86,2.71,*,-19.18,-8.55,-19.18,-8.55,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Wisconsin has more votes than registered voters Panel 7 (Lucid) Democrat no,1,11.33,2.65,*,16.53,6.13,6.13,16.53,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Wisconsin has more votes than registered voters Panel 7 (Lucid) Democrat no,2,-8.73,2.81,*,-14.23,-3.22,-14.23,-3.22,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Wisconsin has more votes than registered voters Panel 7 (Lucid) Democrat yes,1,9.56,2.47,*,14.41,4.7,4.7,14.41,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Wisconsin has more votes than registered voters Panel 7 (Lucid) Democrat yes,2,-7.58,2.64,*,-12.76,-2.4,-12.76,-2.4,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Presidential winner must be announced election night Panel 6 (MTurk) Democrat no,1,-2.73,4.44,,6.01,-11.47,-11.47,6.01,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Presidential winner must be announced election night Panel 6 (MTurk) Democrat no,2,-5.68,4.3,,-14.13,2.78,-14.13,2.78,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Presidential winner must be announced election night Panel 6 (MTurk) Democrat yes,1,-4.59,3.94,,3.16,-12.34,-12.34,3.16,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Presidential winner must be announced election night Panel 6 (MTurk) Democrat yes,2,-3.68,3.57,,-10.7,3.34,-10.7,3.34,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Sen Coon’s daughter’s photo on Hunter Biden’s laptop Panel 6 (MTurk) Democrat no,1,-6.01,3.7,,1.26,-13.27,-13.27,1.26,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Sen Coon’s daughter’s photo on Hunter Biden’s laptop Panel 6 (MTurk) Democrat no,2,-5.63,4.02,,-13.54,2.27,-13.54,2.27,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Sen Coon’s daughter’s photo on Hunter Biden’s laptop Panel 6 (MTurk) Democrat yes,1,-3.09,3.28,,3.35,-9.53,-9.53,3.35,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Sen Coon’s daughter’s photo on Hunter Biden’s laptop Panel 6 (MTurk) Democrat yes,2,-8.67,3.51,*,-15.58,-1.77,-15.58,-1.77,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Trump said ’Good’ to children’s separation Panel 6 (MTurk) Democrat no,1,6.71,4.25,,15.07,-1.65,-1.65,15.07,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Trump said ’Good’ to children’s separation Panel 6 (MTurk) Democrat no,2,-36.36,4.11,*,-44.44,-28.28,-44.44,-28.28,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Trump said ’Good’ to children’s separation Panel 6 (MTurk) Democrat yes,1,5.71,4.2,,13.96,-2.54,-2.54,13.96,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Trump said ’Good’ to children’s separation Panel 6 (MTurk) Democrat yes,2,-34.18,4.13,*,-42.29,-26.06,-42.29,-26.06,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Biden and Obama plotted to have Seal Team 6 murdered Panel 5 (Lucid) Democrat no,1,0.21,2.81,,5.72,-5.3,-5.3,5.72,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Biden and Obama plotted to have Seal Team 6 murdered Panel 5 (Lucid) Democrat no,2,-8.2,2.24,*,-12.59,-3.81,-12.59,-3.81,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Biden and Obama plotted to have Seal Team 6 murdered Panel 5 (Lucid) Democrat yes,1,-0.22,2.67,,5.02,-5.46,-5.46,5.02,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Biden and Obama plotted to have Seal Team 6 murdered Panel 5 (Lucid) Democrat yes,2,-8.16,2.09,*,-12.27,-4.05,-12.27,-4.05,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Joe Biden has never made more than $400k Panel 5 (Lucid) Democrat no,1,17.19,2.97,*,23.02,11.37,11.37,23.02,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Joe Biden has never made more than $400k Panel 5 (Lucid) Democrat no,2,-24.08,3.05,*,-30.07,-18.09,-30.07,-18.09,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Joe Biden has never made more than $400k Panel 5 (Lucid) Democrat yes,1,18.02,3.04,*,23.98,12.06,12.06,23.98,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Joe Biden has never made more than $400k Panel 5 (Lucid) Democrat yes,2,-24.34,3.04,*,-30.31,-18.37,-30.31,-18.37,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Kamala Harris imprisoned prolife activists Panel 5 (Lucid) Democrat no,1,18.09,2.86,*,23.7,12.48,12.48,23.7,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Kamala Harris imprisoned prolife activists Panel 5 (Lucid) Democrat no,2,-16.67,3.1,*,-22.76,-10.58,-22.76,-10.58,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Kamala Harris imprisoned prolife activists Panel 5 (Lucid) Democrat yes,1,17.81,2.78,*,23.28,12.35,12.35,23.28,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Kamala Harris imprisoned prolife activists Panel 5 (Lucid) Democrat yes,2,-16,3.04,*,-21.98,-10.03,-21.98,-10.03,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Hunter Biden’s laptop had photos torturing children Panel 4 (MTurk) Democrat no,1,3.47,1.84,,7.08,-0.13,-0.13,7.08,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Hunter Biden’s laptop had photos torturing children Panel 4 (MTurk) Democrat no,2,-4.21,1.92,*,-7.98,-0.44,-7.98,-0.44,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Hunter Biden’s laptop had photos torturing children Panel 4 (MTurk) Democrat yes,1,3.06,1.6,,6.19,-0.08,-0.08,6.19,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Hunter Biden’s laptop had photos torturing children Panel 4 (MTurk) Democrat yes,2,-4.17,1.65,*,-7.42,-0.93,-7.42,-0.93,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Trump chose Judge Barrett on basis of looks Panel 4 (MTurk) Democrat no,1,9.66,2.29,*,14.16,5.17,5.17,14.16,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Trump chose Judge Barrett on basis of looks Panel 4 (MTurk) Democrat no,2,-23.64,2.2,*,-27.95,-19.33,-27.95,-19.33,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Trump chose Judge Barrett on basis of looks Panel 4 (MTurk) Democrat yes,1,10.69,2.09,*,14.79,6.59,6.59,14.79,TRUE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,Trump chose Judge Barrett on basis of looks Panel 4 (MTurk) Democrat yes,2,-23.48,2,*,-27.41,-19.55,-27.41,-19.55,FALSE
2,Table 2: Conditional average treatment effects at Wave 1 among Democrats,WHO: children to be vaccinated without parents’ consent Panel 4 (MTurk) Democrat no,1,-8.38,2.16,*,-4.15,-12.62,-12.62,-4.15,TRUE
