fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,significant
2,panel_4_mturk,Panel 4 (MTurk),false,control,0.01335828837755515,0.02339016876817736,0.5711069684853786,0.5679768962906913,-0.03250712517758789,0.0592237019326982,2579,Responded Wave 2,FALSE
2,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.0148263200561332,0.02361202533288896,0.627913948384672,0.5301159075561055,-0.03147412854263316,0.06112676865489957,2579,Responded Wave 2,FALSE
2,panel_4_mturk,Panel 4 (MTurk),false,control,0.02106106121849849,0.02392980778336399,0.8801182779721342,0.3788772414437694,-0.02586252198250442,0.0679846444195014,2579,Responded Wave 3,FALSE
2,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.00733413718637795,0.02416313697253126,0.30352587061503744,0.761513618206659,-0.04004697754685583,0.05471525191961174,2579,Responded Wave 3,FALSE
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,control,0.01940115949523086,0.0184780220728539,1.0499586708326938,0.29385259393413554,-0.01683506123566846,0.05563738022613019,2197,Responded Wave 1,FALSE
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,factcheck,-0.02301230263123778,0.01654821077482702,-1.3906217985961278,0.1644809806494107,-0.05546407782524069,0.00943947256276513,2197,Responded Wave 1,FALSE
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,control,-0.03385010093376194,0.02511382090173629,-1.3478674179531815,0.17783999028350392,-0.08309941744629692,0.01539921557877303,2197,Responded Wave 2,FALSE
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,factcheck,0.0142691842696512,0.0214568096171726,0.66501891587047,0.5061081944059149,-0.02780857093613983,0.05634693947544223,2197,Responded Wave 2,FALSE
2,panel_6_mturk,Panel 6 (MTurk),false,control,0.01880215195432547,0.03048720743773212,0.6167226694254462,0.5375056263482685,-0.04099702615656697,0.07860133006521791,1596,Responded Wave 1,FALSE
2,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.01371427036320616,0.0303167617621499,0.452365937721233,0.6510668588147108,-0.04575058682527349,0.07317912755168582,1596,Responded Wave 1,FALSE
2,panel_6_mturk,Panel 6 (MTurk),false,control,0.05347633948177432,0.02824671362476302,1.893188007361439,0.05851362130719745,-0.00192821872659882,0.10888089769014749,1596,Responded Wave 2,FALSE
2,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.03447036857941104,0.02835645857580207,1.2156090820461714,0.22431365138033696,-0.02114944902546009,0.09009018618428218,1596,Responded Wave 2,FALSE
2,panel_6_mturk,Panel 6 (MTurk),false,control,0.02905412823891091,0.03038365637133844,0.9562419968097814,0.33909480468050346,-0.03054193947968024,0.08865019595750206,1596,Responded Wave 3,FALSE
2,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.02888593380614638,0.03021205252053336,0.956106301831506,0.33916332782784386,-0.03037354128552847,0.08814540889782124,1596,Responded Wave 3,FALSE
2,panel_7_lucid,Panel 7 (Lucid),false,control,0.01422347140231265,0.01563136829133253,0.9099313084574596,0.3629506837700187,-0.01642900318053173,0.04487594598515704,2385,Responded Wave 1,FALSE
2,panel_7_lucid,Panel 7 (Lucid),false,factcheck,-0.02125334130828194,0.01648757464376936,-1.2890520144703976,0.1975050134271939,-0.05358480156701832,0.01107811895045444,2385,Responded Wave 1,FALSE
2,panel_7_lucid,Panel 7 (Lucid),false,control,-1.8802537694264792e-4,0.02113876351172138,-0.00889481434608928,0.9929038024588996,-0.04164027697638093,0.04126422622249564,2385,Responded Wave 2,FALSE
2,panel_7_lucid,Panel 7 (Lucid),false,factcheck,-0.00638201443506889,0.02077452285764882,-0.30720389964187045,0.7587149979607264,-0.04712000499331677,0.034355976123179,2385,Responded Wave 2,FALSE
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,control,0.01421041506140424,0.0166332318449418,0.8543387835795518,0.39300558756683823,-0.01840715170698469,0.04682798182979318,2318,Responded Wave 1,FALSE
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,factcheck,0.00438052398194085,0.01686392620139689,0.2597570654441079,0.7950742394081934,-0.02868943163336074,0.03745047959724246,2318,Responded Wave 1,FALSE
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,control,-0.02156110001159197,0.0199857259377664,-1.0788249613114442,0.2807780106201221,-0.06075286720793859,0.01763066718475465,2318,Responded Wave 2,FALSE
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,factcheck,-0.02403404907666064,0.01986894722128913,-1.209628714042216,0.2265447445501041,-0.06299681462033191,0.01492871646701062,2318,Responded Wave 2,FALSE
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,control,-0.01077934191343599,0.00843709453026276,-1.2776130307384723,0.20152800167270535,-0.02732533915444391,0.00576665532757192,2087,Responded Wave 1,FALSE
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,factcheck,-0.00662707186912932,0.0082397781148374,-0.8042779522419325,0.4213280715518294,-0.02278611162690374,0.0095319678886451,2087,Responded Wave 1,FALSE
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,control,1.8419526265444345e-4,0.0264669587081305,0.00695944194743688,0.9944478786874584,-0.05172019246132181,0.0520885829866307,2087,Responded Wave 2,FALSE
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,factcheck,0.01903127130056004,0.02687684530989321,0.7080917079786421,0.4789673811639189,-0.0336769455801912,0.07173948818131129,2087,Responded Wave 2,FALSE
3,panel_2_mturk,Panel 2 (MTurk),false,control,-0.0021336989882559,0.00828276632545123,-0.2576070487102227,0.7967359690921388,-0.01837718510259689,0.01410978712608508,2056,Responded Wave 1,FALSE
3,panel_2_mturk,Panel 2 (MTurk),false,factcheck,-0.00170253624557504,0.00833065748241785,-0.20436997309855928,0.8380846207359518,-0.01803994259291797,0.01463487010176788,2056,Responded Wave 1,FALSE
3,panel_2_mturk,Panel 2 (MTurk),false,control,-0.00627508271020289,0.02699552556583356,-0.23244899214501108,0.8162124360213014,-0.05921650680067011,0.04666634138026433,2056,Responded Wave 2,FALSE
3,panel_2_mturk,Panel 2 (MTurk),false,factcheck,-0.01365140681503433,0.02726776734289641,-0.5006426321365358,0.6166762401323826,-0.06712672928578974,0.03982391565572107,2056,Responded Wave 2,FALSE
3,panel_3_lucid,Panel 3 (Lucid),false,control,0.01157324541438015,0.01690343595823189,0.6846682202942317,0.49361977881530994,-0.02157368779017127,0.04472017861893158,2387,Responded Wave 1,FALSE
3,panel_3_lucid,Panel 3 (Lucid),false,factcheck,-0.00779544072241309,0.01794215172020694,-0.4344763573498077,0.6639818309804943,-0.042979252231812,0.02738837078698581,2387,Responded Wave 1,FALSE
3,panel_3_lucid,Panel 3 (Lucid),false,control,-0.00228489099257937,0.02338249744350972,-0.09771800459294357,0.9221644225243434,-0.04813699365565725,0.0435672116704985,2387,Responded Wave 2,FALSE
3,panel_3_lucid,Panel 3 (Lucid),false,factcheck,-0.01394571275687074,0.02399948556023256,-0.5810838203956736,0.5612388230965691,-0.0610077033944142,0.03311627788067273,2387,Responded Wave 2,FALSE
