name,value,treatment,misinfo_type,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
Personality - Agreeableness,low,misinformation,Misinformation is in article form,overall,summary,26.436334504899605,1.5694720718391937,16.844093615453797,1.1593164288177027e-63,23.360225769353328,29.512443240445883
Personality - Agreeableness,low,factcheck,Misinformation is a social media post,overall,summary,38.347082022356595,2.3846415604663096,16.080857877381764,3.475328535922428e-58,33.67327044780524,43.02089359690795
Personality - Agreeableness,low,factcheck,Misinformation is in article form,overall,summary,37.29771726282655,2.3461348217226727,15.897516595163246,6.592685089486139e-57,32.69937750937481,41.89605701627829
Personality - Conscientiousness,high,misinformation,Misinformation is a social media post,overall,summary,34.90107120367838,9.671606175186904,3.6086117002178195,3.078399665596316e-4,15.945071427656867,53.857070979699884
Personality - Conscientiousness,high,misinformation,Misinformation is in article form,overall,summary,49.31625516720882,4.48194674869927,11.003311269041998,3.6835245378195167e-28,40.531800959131864,58.10070937528578
Personality - Conscientiousness,high,factcheck,Misinformation is a social media post,overall,summary,65.91351301903403,3.8444511932628767,17.145103346491354,6.837720132340096e-66,58.378527139916756,73.4484988981513
Personality - Conscientiousness,high,factcheck,Misinformation is in article form,overall,summary,73.62585020322963,4.498978413087866,16.365015219687763,3.3994277559362625e-60,64.80801454635426,82.443685860105
Personality - Conscientiousness,low,misinformation,Misinformation is a social media post,overall,summary,28.5635128704102,7.940778416515514,3.5970671100710714,3.2182547255459856e-4,12.999873164826797,44.127152575993605
Personality - Conscientiousness,low,misinformation,Misinformation is in article form,overall,summary,29.4550077518908,2.9133284135070237,10.11043163391019,4.966497929550939e-24,23.74498898627982,35.16502651750178
Personality - Conscientiousness,low,factcheck,Misinformation is a social media post,overall,summary,40.38692366991156,2.3035786622994454,17.532252894545003,8.128405828221758e-69,35.87199245624969,44.90185488357343
Personality - Conscientiousness,low,factcheck,Misinformation is in article form,overall,summary,44.76055175577296,5.017258984940476,8.9213157802146,4.607807306303133e-19,34.92690484417964,54.59419866736628
Personality - Emotional Stability,high,misinformation,Misinformation is a social media post,overall,summary,36.41917560479425,10.305898803024139,3.533818476279574,4.0960228612490454e-4,16.21998512255249,56.61836608703601
Personality - Emotional Stability,high,misinformation,Misinformation is in article form,overall,summary,48.69862580658236,4.450445695606431,10.942415465187816,7.224893514863611e-28,39.97591252804246,57.42133908512227
Personality - Emotional Stability,high,factcheck,Misinformation is a social media post,overall,summary,65.42085615629556,3.5685222098628047,18.332758578742524,4.533203862669383e-75,58.42668114693318,72.41503116565794
Personality - Emotional Stability,high,factcheck,Misinformation is in article form,overall,summary,73.6087836706118,5.188242726921239,14.187613715268885,1.0931564093444667e-45,63.44001478279429,83.7775525584293
Personality - Emotional Stability,low,misinformation,Misinformation is a social media post,overall,summary,28.35336547024824,7.185768412734242,3.945766665677938,7.954504828128422e-5,14.26951818004358,42.437212760452894
Personality - Emotional Stability,low,misinformation,Misinformation is in article form,overall,summary,29.142001749776412,3.28449679034705,8.872592549160988,7.14624114552754e-19,22.704506333358793,35.57949716619403
Personality - Emotional Stability,low,factcheck,Misinformation is a social media post,overall,summary,41.81252178370441,2.9923304959207075,13.97322984232701,2.270898686823068e-44,35.94766178185895,47.677381785549876
Personality - Emotional Stability,low,factcheck,Misinformation is in article form,overall,summary,44.27009260696786,4.2342740782664965,10.455178807199921,1.3873683996555836e-25,35.97106791289399,52.56911730104172
Personality - Openness,high,misinformation,Misinformation is a social media post,overall,summary,36.700958259293316,10.093818621132298,3.6359835298067105,2.7692202552270795e-4,16.91743729539427,56.484479223192366
Personality - Openness,high,misinformation,Misinformation is in article form,overall,summary,45.97635369768691,4.200394013918894,10.945724030968176,6.965893299060655e-28,37.743732709528246,54.208974685845575
Personality - Openness,high,factcheck,Misinformation is a social media post,overall,summary,61.77326281533998,3.6867270906888656,16.755583284521784,5.155281130277506e-63,54.54741049676168,68.9991151339183
Personality - Openness,high,factcheck,Misinformation is in article form,overall,summary,69.83350522798294,4.601681927032406,15.175648020726653,5.1268888782963855e-52,60.81437438269056,78.85263607327532
Personality - Openness,low,misinformation,Misinformation is a social media post,overall,summary,28.145141278547893,7.269368528715469,3.871745003347804,1.0805896674537031e-4,13.897440771916656,42.39284178517913
Personality - Openness,low,misinformation,Misinformation is in article form,overall,summary,27.61879189365881,1.639357859515925,16.847323318298653,1.0977180431181502e-63,24.405709531234923,30.831874256082695
Personality - Openness,low,factcheck,Misinformation is a social media post,overall,summary,41.750704330902444,3.01087716400987,13.866624925773817,1.0091462189299914e-43,35.849493527569,47.651915134235885
Personality - Openness,low,factcheck,Misinformation is in article form,overall,summary,47.54885263237333,6.09964845426161,7.795343123283215,6.4233694054865775e-15,35.59376134366517,59.50394392108149
