fc,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,significant
1,Panel 3 (Lucid),factcheck,-0.05966489206534447,0.1146166816749106,-0.5205602813958015,0.6027214649203987,-0.28442356990996936,0.16509378577928044,2384,lucid_pid_7n,FALSE
1,Panel 3 (Lucid),control,1.09425237860891,0.8463459076758958,1.292913888617689,0.1961661234893612,-0.5653977214347987,2.753902478652619,2384,lucid_age,FALSE
1,Panel 3 (Lucid),factcheck,0.7569024090820675,0.8208465247584222,0.9220997911940072,0.3565698319922822,-0.8527444322157574,2.3665492503798924,2384,lucid_age,FALSE
1,Panel 3 (Lucid),control,0.46800155839895147,0.3594036398497852,1.3021614321840351,0.19298699750905496,-0.23677444562373223,1.1727775624216352,2384,lucid_hhin,FALSE
1,Panel 3 (Lucid),factcheck,0.2825885477440729,0.3488795850514185,0.8099887750738539,0.4180274677624809,-0.4015502103953787,0.9667273058835244,2384,lucid_hhin,FALSE
1,Panel 3 (Lucid),control,-0.01323448523238196,0.04634706539223285,-0.2855517414183443,0.7752462765134346,-0.10411920626349928,0.07765023579873535,2384,political_knowledge_pre,FALSE
1,Panel 3 (Lucid),factcheck,0.09687563184430777,0.04438064536538626,2.1828351310966707,0.02914520644536129,0.00984698096687713,0.1839042827217384,2384,political_knowledge_pre,TRUE
1,Panel 3 (Lucid),control,0.03504347112861066,0.06259793708154984,0.5598183065195514,0.5756559692976304,-0.08770855212534762,0.15779549438256893,2384,political_interest_pre,FALSE
1,Panel 3 (Lucid),factcheck,0.09323645954881438,0.06016355925841403,1.5497164844976323,0.1213423118105742,-0.02474184723641759,0.21121476633404632,2384,political_interest_pre,FALSE
1,Panel 3 (Lucid),control,-0.02037384661298084,0.04398275390255558,-0.4632235320716704,0.6432464335429331,-0.1066222484219108,0.06587455519594909,2384,cognitive_reflection_pre,FALSE
1,Panel 3 (Lucid),factcheck,-0.0094927959864769,0.04288459172109384,-0.2213567998551712,0.8248335841644908,-0.09358774616552654,0.07460215419257274,2384,cognitive_reflection_pre,FALSE
1,Panel 3 (Lucid),control,-0.0832985049857773,0.228649963213688,-0.36430578782962464,0.7156619868725387,-0.5316718365998617,0.3650748266283071,2384,need_for_cognition_pre,FALSE
1,Panel 3 (Lucid),factcheck,0.6079164561382219,0.22637270486985983,2.685467121522928,0.00729304810278215,0.1640087360476083,1.0518241762288354,2384,need_for_cognition_pre,TRUE
1,Panel 4 (MTurk),control,-0.04584405540322107,0.11155082386475622,-0.410970119403172,0.6811287488354202,-0.2645827891674076,0.17289467836096545,2567,lucid_pid_7n,FALSE
1,Panel 4 (MTurk),factcheck,0.03040152611982191,0.109406955543813,0.27787562471425636,0.7811302137571846,-0.1841333207914192,0.24493637303106305,2567,lucid_pid_7n,FALSE
1,Panel 4 (MTurk),control,0.34040733168804743,0.6446583412992681,0.5280430111273795,0.5975151253193047,-0.92369583134448,1.6045104947205748,2567,lucid_age,FALSE
1,Panel 4 (MTurk),factcheck,-0.24248958571694895,0.6299907359883288,-0.3849097643261874,0.7003361587004845,-1.4778312093729715,0.9928520379390738,2567,lucid_age,FALSE
1,Panel 4 (MTurk),control,-0.42368276734866017,0.3081170519674948,-1.3750708201419413,0.16922948724611023,-1.0278659680055722,0.18050043330825183,2567,lucid_hhin,FALSE
1,Panel 4 (MTurk),factcheck,0.11417783184829008,0.30530694435182015,0.37397718578165506,0.708452175426338,-0.4844950609480633,0.7128507246446435,2567,lucid_hhin,FALSE
1,Panel 4 (MTurk),control,0.02103970033783701,0.03909799299142971,0.5381273750406809,0.5905357673920746,-0.05562710662393929,0.0977065072996133,2567,political_knowledge_pre,FALSE
1,Panel 4 (MTurk),factcheck,0.03386463431892838,0.03788847662423727,0.8937977278628607,0.3715139131366856,-0.04043044584191013,0.10815971447976688,2567,political_knowledge_pre,FALSE
1,Panel 4 (MTurk),control,-0.05432327919566862,0.04738296133951546,-1.1464728598625011,0.2517064051944942,-0.1472359857658046,0.03858942737446734,2567,political_interest_pre,FALSE
1,Panel 4 (MTurk),factcheck,-0.06099749588121089,0.04624261989852191,-1.3190752603349056,0.1872616043131626,-0.15167411997145255,0.02967912820903077,2567,political_interest_pre,FALSE
1,Panel 4 (MTurk),control,-0.00170623016926884,0.05899843940160425,-0.02891992036695218,0.9769307061894944,-0.11739559472668593,0.11398313438814822,2567,cognitive_reflection_pre,FALSE
1,Panel 4 (MTurk),factcheck,0.00368415675007299,0.0581201564596429,0.06338862409345324,0.9494619809900824,-0.1102829928388179,0.1176513063389639,2567,cognitive_reflection_pre,FALSE
1,Panel 4 (MTurk),control,0.1073502042387139,0.2579751286556472,0.4161261777371109,0.6773524618793763,-0.3985102728941477,0.6132106813715754,2567,need_for_cognition_pre,FALSE
1,Panel 4 (MTurk),factcheck,-0.09294493775179252,0.2606023746476187,-0.35665422418913406,0.7213799913163319,-0.6039571514802314,0.4180672759766465,2567,need_for_cognition_pre,FALSE
1,Panel 5 (Lucid),control,0.02086438152011567,0.124079924229081,0.1681527583913984,0.8664785894585582,-0.22246191354996872,0.26419067659020007,2196,lucid_pid_7n,FALSE
1,Panel 5 (Lucid),factcheck,0.11585796303488068,0.1229382757854396,0.9424075805088078,0.3460876688140151,-0.12522950824650672,0.35694543431626813,2196,lucid_pid_7n,FALSE
1,Panel 5 (Lucid),control,0.7570909250087532,0.882377091573355,0.8580128974776468,0.39097897555770533,-0.9732901167370788,2.487471966754585,2196,lucid_age,FALSE
1,Panel 5 (Lucid),factcheck,0.6370198332150266,0.8634326468557904,0.7377759406419816,0.46072944243531855,-1.0562103029840348,2.330249969414088,2196,lucid_age,FALSE
