congeniality,lucid_pid_3,treatment,topic_short_2,mu,se,lo,hi,cfac,traffic,ts2
"False claim
congenial to
Republicans",Democrat,control,WHO: children to be vaccinated without parents' consent,36.00113378684807,1.5570231255070595,32.94936846085424,39.05289911284191,Agreement in control,NA,WHO: children to be vaccinated without parents' consent (24 Oct)
"False claim
congenial to
Republicans",Democrat,control,Wisconsin has more votes than registered voters,27.58028169014084,1.770472924704957,24.110154757719123,31.050408622562557,Agreement in control,NA,Wisconsin has more votes than registered voters (12 Nov)
"False claim
congenial to
Republicans",Republican,control,Antifa start West Coast wildfires (Lucid),42.401098901098905,2.3453954442237945,37.80412383042027,46.99807397177754,Agreement in control,NA,Antifa start West Coast wildfires (Lucid) (25 Sep)
"False claim
congenial to
Republicans",Republican,control,Antifa start West Coast wildfires (MTurk),66.44411764705879,1.9696165968891144,62.58366911715613,70.30456617696146,Agreement in control,NA,Antifa start West Coast wildfires (MTurk) (25 Sep)
"False claim
congenial to
Republicans",Republican,control,Biden and Obama plotted to have Seal Team 6 murdered,40.82999999999999,2.9232992531538633,35.100333463818416,46.55966653618157,Agreement in control,NA,Biden and Obama plotted to have Seal Team 6 murdered (29 Oct)
"False claim
congenial to
Republicans",Republican,control,Biden wears wire at debate,63.208881578947356,1.9915603425257804,59.305423307596826,67.11233985029789,Agreement in control,NA,Biden wears wire at debate (8 Oct)
"False claim
congenial to
Republicans",Republican,control,GOP voters' pens invisible to voting machines,57.164658634538156,2.2371730249305424,52.77979950567429,61.54951776340202,Agreement in control,NA,GOP voters' pens invisible to voting machines (12 Nov)
"False claim
congenial to
Republicans",Republican,control,Hunter Biden's laptop had photos torturing children,39.92370129870133,2.0415422504985434,35.922278487724185,43.92512410967848,Agreement in control,NA,Hunter Biden's laptop had photos torturing children (24 Oct)
"False claim
congenial to
Republicans",Republican,control,Kamala Harris imprisoned prolife activists,60.42346938775509,1.9187530440263165,56.66271342146351,64.18422535404667,Agreement in control,NA,Kamala Harris imprisoned prolife activists (29 Oct)
"False claim
congenial to
Republicans",Republican,control,Obama failed to nominate US judges,58.46308724832214,2.140954145630579,54.2668171228862,62.65935737375808,Agreement in control,NA,Obama failed to nominate US judges (16 Oct)
"False claim
congenial to
Republicans",Republican,control,Presidential winner must be announced election night,59.176,3.431449688942261,52.450358609673174,65.90164139032683,Agreement in control,NA,Presidential winner must be announced election night (2 Nov)
"False claim
congenial to
Republicans",Republican,control,SARS-CoV-2 man made virus created in the lab (Lucid),63.780000000000015,2.261194051855343,59.348059658363546,68.21194034163649,Agreement in control,NA,SARS-CoV-2 man made virus created in the lab (Lucid) (25 Sep)
"False claim
congenial to
Republicans",Republican,control,SARS-CoV-2 man made virus created in the lab (MTurk),77.33011049723757,1.5812581273748803,74.2308445675828,80.42937642689233,Agreement in control,NA,SARS-CoV-2 man made virus created in the lab (MTurk) (25 Sep)
"False claim
congenial to
Republicans",Republican,control,Sen Coon's daughter's photo on Hunter Biden's laptop,63.425438596491226,2.8568294722379663,57.826052830904814,69.02482436207764,Agreement in control,NA,Sen Coon's daughter's photo on Hunter Biden's laptop (2 Nov)
"False claim
congenial to
Republicans",Republican,control,WHO: children to be vaccinated without parents' consent,46.66144200626961,1.972423385212937,42.795492171252256,50.52739184128696,Agreement in control,NA,WHO: children to be vaccinated without parents' consent (24 Oct)
"False claim
congenial to
Republicans",Republican,control,Wisconsin has more votes than registered voters,62.93258426966292,2.126020375860666,58.76558433297601,67.09958420634982,Agreement in control,NA,Wisconsin has more votes than registered voters (12 Nov)
"False claim
congenial to
Democrats",NA,NA,A black man invented the light bulb (Lucid),NA,NA,NA,NA,Fact check website traffic,26817,A black man invented the light bulb (Lucid) (25 Sep)
"False claim
congenial to
Democrats",NA,NA,A black man invented the light bulb (MTurk),NA,NA,NA,NA,Fact check website traffic,26817,A black man invented the light bulb (MTurk) (25 Sep)
"False claim
congenial to
Republicans",NA,NA,Biden wears wire at debate,NA,NA,NA,NA,Fact check website traffic,153947,Biden wears wire at debate (8 Oct)
"False claim
congenial to
Democrats",NA,NA,Donald Trump claimed his DNA was USA,NA,NA,NA,NA,Fact check website traffic,168985,Donald Trump claimed his DNA was USA (16 Oct)
