lucid_pid_3,target,ty2,term,type,estimate,std.error,statistic,p.value,conf.low,conf.high
Republican,w1_ft_antifa,treatmentcontrol,overall,summary,0.06160656809841139,0.7770436746067394,0.07928327597491915,0.9368073082629492,-1.461371048545458,1.584584184742281
Republican,w1_ft_antifa,treatmentfactcheck,overall,summary,-0.7344663816869536,1.0255463280687427,-0.7161708462942515,0.4738858623312568,-2.744500249178987,1.2755674858050803
Republican,w1_ft_barack_obama,treatmentcontrol,overall,summary,-0.5844891126783741,1.5487417398607346,-0.3773961130090885,0.7058792550704192,-3.6199671441593146,2.450988918802566
Republican,w1_ft_barack_obama,treatmentfactcheck,overall,summary,0.6617539631533628,1.452943944824666,0.45545732546015044,0.6487802619881037,-2.1859638402585326,3.5094717665652584
Republican,w1_ft_black_lives_matter_protestors,treatmentcontrol,overall,summary,-0.39921903249168966,1.4062938451196736,-0.2838802387403727,0.7765021609639047,-3.155504320606598,2.3570662556232183
Republican,w1_ft_black_lives_matter_protestors,treatmentfactcheck,overall,summary,0.4256902264539422,1.3721618730789635,0.3102332420144756,0.7563835932478911,-2.2636976257398462,3.1150780786477306
Republican,w1_ft_chris_coons,treatmentcontrol,overall,summary,-2.590128259642981,1.7519215241861938,-1.4784499327651976,0.13928738874609364,-6.023831350788437,0.8435748315024751
Republican,w1_ft_chris_coons,treatmentfactcheck,overall,summary,0.38239567826808374,2.6110187958907263,0.14645458656594343,0.8835625379556926,-4.735107124634876,5.499898481171044
Republican,w1_ft_donald_trump,treatmentcontrol,overall,summary,-0.4192716026477405,0.4423959300505342,-0.9477293396434451,0.34326726058223417,-1.2863516924538883,0.4478084871584072
Republican,w1_ft_donald_trump,treatmentfactcheck,overall,summary,0.7332475563626589,0.4342733373907653,1.6884470982451139,0.09132543592165529,-0.11791254436925236,1.5844076570945702
Republican,w1_ft_hunter_biden,treatmentcontrol,overall,summary,-0.02241772461557133,2.494438033590099,-0.00898708419038448,0.9928294408028945,-4.911426432119077,4.866590982887935
Republican,w1_ft_hunter_biden,treatmentfactcheck,overall,summary,0.49905540379848123,1.7058409057454054,0.2925568276136559,0.7698609171044027,-2.844331334817697,3.8424421424146593
Republican,w1_ft_joe_biden,treatmentcontrol,overall,summary,0.3855268124181875,0.6045788488334717,0.6376782997983758,0.5236831142274554,-0.7994259571101023,1.5704795819464772
Republican,w1_ft_joe_biden,treatmentfactcheck,overall,summary,-0.08459607302672156,0.535007076244601,-0.15812140957187062,0.874361130437039,-1.1331906739402138,0.9639985278867708
Republican,w1_ft_kamala_harris,treatmentcontrol,overall,summary,0.39585040847748254,1.431557446834996,0.27651730592625595,0.7821507694172299,-2.409950629119222,3.2016514460741874
Republican,w1_ft_kamala_harris,treatmentfactcheck,overall,summary,-0.611939444848805,1.3222500625184888,-0.4628016002383425,0.6435065841043093,-3.203501945940877,1.979623056243267
Republican,w1_ft_politifact,treatmentcontrol,overall,summary,1.0972681106432811,0.6544597601759902,1.6766013396273833,0.09362046464552864,-0.18544944863238033,2.3799856699189426
Republican,w1_ft_politifact,treatmentfactcheck,overall,summary,0.5658137774797022,0.5942356024669266,0.9521707806310606,0.3410103770822355,-0.5988666016869345,1.7304941566463388
Republican,w1_ft_scientists,treatmentcontrol,overall,summary,-0.7781118660659659,0.6602951325446339,-1.1784304134838794,0.23862505885734311,-2.072266545020549,0.5160428128886173
Republican,w1_ft_scientists,treatmentfactcheck,overall,summary,0.265303073453851,0.654090046544641,0.40560634557178565,0.6850318656304188,-1.0166898604197725,1.5472960073274746
Republican,w1_ft_the_u.s._postal_service,treatmentcontrol,overall,summary,-0.5274332315189607,1.9622344278874715,-0.26879216062210864,0.7880896263307234,-4.373342039402962,3.31847557636504
Republican,w1_ft_the_u.s._postal_service,treatmentfactcheck,overall,summary,-1.0442797824475254,2.4164606353542117,-0.43215261493156987,0.6656304962259343,-5.780455597800556,3.6918960329055044
Republican,w1_ft_the_world_health_organization_(who),treatmentcontrol,overall,summary,2.6517339336934564,1.8225064110442473,1.4549929249215008,0.1456712201961106,-0.9203129935466188,6.223780860933532
Republican,w1_ft_the_world_health_organization_(who),treatmentfactcheck,overall,summary,-1.8677750930366066,1.3465545778805093,-1.3870771550726921,0.16541823726217228,-4.506973568899939,0.7714233828267261
