fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,factcheck,-0.0017230294458017272,0.016061107090142242,-0.10727961877916023,0.9145761761937244,-0.033218204255668515,0.02977214536406506,2385,Responded Wave 1
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,control,0.035295196186284815,0.020693384156130774,1.7056270699844907,0.08820774382290669,-0.005283684693295598,0.07587407706586523,2385,Responded Wave 2
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,factcheck,0.024424585315673937,0.020796274603283108,1.1744692634428875,0.2403243681659546,-0.016356059527071698,0.06520523015841957,2385,Responded Wave 2
2,panel_1_lucid,Panel 1 (Lucid),false,control,0.033464388507049136,0.017065487285350674,1.960939523583108,0.05000565004471241,-8.259596326123941e-7,0.06692960297373088,2318,Responded Wave 1
2,panel_1_lucid,Panel 1 (Lucid),false,factcheck,0.030230741875712563,0.017139791759648897,1.7637753305079729,0.07790152608784968,-0.003380182767692856,0.06384166651911799,2318,Responded Wave 1
2,panel_1_lucid,Panel 1 (Lucid),false,control,-0.0025344554255639896,0.019684592409849076,-0.1287532590360311,0.8975640611818663,-0.04113570341045436,0.03606679255932638,2318,Responded Wave 2
2,panel_1_lucid,Panel 1 (Lucid),false,factcheck,0.009201770251807071,0.01989709065074707,0.46246812729184483,0.6437890599887361,-0.029816184217143,0.04821972472075715,2318,Responded Wave 2
2,panel_1_mturk,Panel 1 (MTurk),false,control,0.006584362139917665,0.00840640215571133,0.7832556684721815,0.4335658628079503,-0.009901444244768038,0.023070168524603366,2087,Responded Wave 1
2,panel_1_mturk,Panel 1 (MTurk),false,factcheck,-0.0018056605358192982,0.009041625286637149,-0.19970530502828185,0.8417305201260621,-0.019537203842620025,0.015925882770981427,2087,Responded Wave 1
2,panel_1_mturk,Panel 1 (MTurk),false,control,-0.005980795610425221,0.02672564100671691,-0.223784926577517,0.8229465626621083,-0.058392485532255956,0.04643089431140551,2087,Responded Wave 2
2,panel_1_mturk,Panel 1 (MTurk),false,factcheck,-0.012433662471455218,0.026610489992668192,-0.467246656295355,0.6403721948830696,-0.06461952958735255,0.03975220464444211,2087,Responded Wave 2
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,control,0.018252103195074185,0.008248273319261118,2.2128392802469854,0.027018212163979285,0.0020762619526366044,0.034427944437511765,2056,Responded Wave 1
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,factcheck,0.01011513911370374,0.008862047202782239,1.1413998235676395,0.25383649961148114,-0.007264385434839583,0.027494663662247062,2056,Responded Wave 1
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,control,0.00641307324404676,0.026992718267094217,0.2375853065478289,0.8122264201567657,-0.04652284540098115,0.05934899188907467,2056,Responded Wave 2
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,factcheck,0.027222103452137724,0.026660774177625423,1.0210545001721438,0.30734874465302287,-0.025062833504386473,0.07950704040866192,2056,Responded Wave 2
2,panel_3_lucid,Panel 3 (Lucid),mostly false,control,0.017352689644028294,0.016918426102226714,1.0256680816039043,0.3051519909594909,-0.01582363860795316,0.05052901789600975,2387,Responded Wave 1
2,panel_3_lucid,Panel 3 (Lucid),mostly false,factcheck,0.0035480962399368904,0.017453295983227146,0.20329089951529264,0.8389249956297861,-0.030677089549793493,0.037773282029667274,2387,Responded Wave 1
2,panel_3_lucid,Panel 3 (Lucid),mostly false,control,-0.009282309342219556,0.023554323893382193,-0.39408090778727495,0.6935565075490051,-0.05547135650999882,0.03690673782555971,2387,Responded Wave 2
2,panel_3_lucid,Panel 3 (Lucid),mostly false,factcheck,-0.01742885616210828,0.023701626736081553,-0.7353443017299701,0.4622020761823217,-0.06390675806331933,0.029049045739102764,2387,Responded Wave 2
2,panel_4_mturk,Panel 4 (MTurk),false,control,-0.008367279533193906,0.00790991180022259,-1.0578221027645902,0.2902356238368743,-0.023877701005462097,0.0071431419390742875,2579,Responded Wave 1
2,panel_4_mturk,Panel 4 (MTurk),false,factcheck,-0.004851729987124696,0.007748113514662188,-0.6261820994160058,0.5312509220149364,-0.020044883749472078,0.010341423775222684,2579,Responded Wave 1
2,panel_4_mturk,Panel 4 (MTurk),false,control,0.013358288377555155,0.023390168768177365,0.5711069684853786,0.5679768962906913,-0.03250712517758789,0.0592237019326982,2579,Responded Wave 2
2,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.014826320056133208,0.023612025332888965,0.627913948384672,0.5301159075561055,-0.03147412854263316,0.06112676865489957,2579,Responded Wave 2
2,panel_4_mturk,Panel 4 (MTurk),false,control,0.02106106121849849,0.023929807783363993,0.8801182779721342,0.37887724144376933,-0.025862521982504424,0.0679846444195014,2579,Responded Wave 3
2,panel_4_mturk,Panel 4 (MTurk),false,factcheck,0.007334137186377951,0.024163136972531262,0.30352587061503744,0.761513618206659,-0.040046977546855836,0.05471525191961174,2579,Responded Wave 3
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,control,0.019401159495230864,0.018478022072853907,1.0499586708326938,0.29385259393413554,-0.016835061235668462,0.05563738022613019,2197,Responded Wave 1
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,factcheck,-0.02301230263123778,0.016548210774827026,-1.3906217985961278,0.1644809806494107,-0.055464077825240696,0.009439472562765134,2197,Responded Wave 1
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,control,-0.033850100933761944,0.025113820901736295,-1.3478674179531815,0.17783999028350392,-0.08309941744629692,0.01539921557877303,2197,Responded Wave 2
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,factcheck,0.014269184269651201,0.021456809617172605,0.66501891587047,0.5061081944059149,-0.02780857093613983,0.05634693947544223,2197,Responded Wave 2
2,panel_6_mturk,Panel 6 (MTurk),false,control,0.01880215195432547,0.03048720743773212,0.6167226694254462,0.5375056263482685,-0.04099702615656697,0.07860133006521791,1596,Responded Wave 1
2,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.013714270363206162,0.0303167617621499,0.45236593772123307,0.6510668588147108,-0.04575058682527349,0.07317912755168582,1596,Responded Wave 1
2,panel_6_mturk,Panel 6 (MTurk),false,control,0.05347633948177432,0.02824671362476302,1.8931880073614393,0.05851362130719745,-0.0019282187265988252,0.10888089769014747,1596,Responded Wave 2
2,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.03447036857941104,0.02835645857580207,1.2156090820461714,0.22431365138033696,-0.021149449025460093,0.09009018618428218,1596,Responded Wave 2
2,panel_6_mturk,Panel 6 (MTurk),false,control,0.02905412823891091,0.030383656371338445,0.9562419968097814,0.33909480468050346,-0.030541939479680244,0.08865019595750206,1596,Responded Wave 3
2,panel_6_mturk,Panel 6 (MTurk),false,factcheck,0.028885933806146385,0.03021205252053336,0.9561063018315061,0.33916332782784386,-0.030373541285528476,0.08814540889782124,1596,Responded Wave 3
2,panel_7_lucid,Panel 7 (Lucid),false,control,0.014223471402312655,0.015631368291332534,0.9099313084574595,0.3629506837700187,-0.016429003180531733,0.04487594598515704,2385,Responded Wave 1
2,panel_7_lucid,Panel 7 (Lucid),false,factcheck,-0.02125334130828194,0.01648757464376936,-1.2890520144703976,0.1975050134271939,-0.05358480156701832,0.011078118950454446,2385,Responded Wave 1
2,panel_7_lucid,Panel 7 (Lucid),false,control,-1.8802537694264792e-4,0.02113876351172138,-0.00889481434608928,0.9929038024588995,-0.04164027697638093,0.04126422622249564,2385,Responded Wave 2
2,panel_7_lucid,Panel 7 (Lucid),false,factcheck,-0.006382014435068892,0.02077452285764882,-0.30720389964187045,0.7587149979607264,-0.047120004993316776,0.034355976123179,2385,Responded Wave 2
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,control,0.014210415061404247,0.016633231844941806,0.8543387835795518,0.39300558756683823,-0.01840715170698469,0.04682798182979318,2318,Responded Wave 1
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,factcheck,0.004380523981940858,0.01686392620139689,0.2597570654441079,0.7950742394081934,-0.02868943163336074,0.03745047959724246,2318,Responded Wave 1
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,control,-0.02156110001159197,0.019985725937766406,-1.0788249613114442,0.2807780106201221,-0.06075286720793859,0.01763066718475465,2318,Responded Wave 2
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,factcheck,-0.02403404907666064,0.019868947221289138,-1.209628714042216,0.2265447445501041,-0.06299681462033191,0.014928716467010623,2318,Responded Wave 2
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,control,-0.010779341913435997,0.008437094530262763,-1.2776130307384723,0.20152800167270538,-0.027325339154443913,0.005766655327571922,2087,Responded Wave 1
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,factcheck,-0.00662707186912932,0.008239778114837405,-0.8042779522419325,0.4213280715518294,-0.022786111626903745,0.009531967888645108,2087,Responded Wave 1
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,control,1.8419526265444342e-4,0.0264669587081305,0.006959441947436888,0.9944478786874583,-0.05172019246132181,0.0520885829866307,2087,Responded Wave 2
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,factcheck,0.01903127130056004,0.026876845309893215,0.7080917079786421,0.4789673811639189,-0.0336769455801912,0.07173948818131129,2087,Responded Wave 2
3,panel_2_mturk,Panel 2 (MTurk),false,control,-0.0021336989882559084,0.008282766325451234,-0.2576070487102227,0.7967359690921388,-0.018377185102596897,0.014109787126085082,2056,Responded Wave 1
3,panel_2_mturk,Panel 2 (MTurk),false,factcheck,-0.001702536245575048,0.008330657482417852,-0.20436997309855928,0.8380846207359518,-0.018039942592917975,0.01463487010176788,2056,Responded Wave 1
