fc,panel,panel_factor,target,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_politifact,Independent,treatmentfactcheck,-2.8928969290419655,4.354447903319491,-0.6643544700205615,0.5073635769164282,-11.488649842703273,5.702855984619342,170,thermometer
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_politifact,Republican,treatmentcontrol,-1.4097419943641074,1.9608188399433686,0.7189557574858996,0.4723612343670679,-5.258230280328257,2.438746291600042,870,thermometer
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_politifact,Republican,treatmentfactcheck,2.9856795828544147,1.9805182080567005,1.5075244300752912,0.13203930569550676,-0.901472543889255,6.872831709598085,870,thermometer
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_the_world_health_organization_(who),Democrat,treatmentcontrol,1.2739499766776081,1.3801094136408272,-0.9230789704686073,0.35613210578759846,-1.4334583934170073,3.9813583467722236,1341,thermometer
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_the_world_health_organization_(who),Democrat,treatmentfactcheck,0.44828250155476373,1.3771286573458001,0.3255196957550488,0.7448385612410952,-2.253278415821535,3.1498434189310625,1341,thermometer
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_the_world_health_organization_(who),Independent,treatmentcontrol,-2.412738169186745,5.181937232264964,0.4656054407922972,0.6420546293591585,-12.637136011922813,7.811659673549322,182,thermometer
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_the_world_health_organization_(who),Independent,treatmentfactcheck,-3.3151076907461583,4.909255380740835,-0.6752770906462578,0.5003567558389994,-13.001481314061495,6.3712659325691785,182,thermometer
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_the_world_health_organization_(who),Republican,treatmentcontrol,4.094843595884171,2.2869129480758374,-1.7905550796454628,0.07369558040578184,-0.3933667955278555,8.583053987296198,914,thermometer
1,panel_4_mturk,Panel 4 (MTurk),w1_ft_the_world_health_organization_(who),Republican,treatmentfactcheck,-3.522507234470525,2.2834851475575477,-1.5426013338594537,0.12327366866614066,-8.003990351930643,0.9589758829895922,914,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_barack_obama,Democrat,treatmentcontrol,0.9184169859920587,1.6685902826797956,-0.5504149194235143,0.582190413640528,-2.3569779958904773,4.193811967874595,790,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_barack_obama,Democrat,treatmentfactcheck,-1.7093944954652118,1.7488018249427817,-0.9774660976929966,0.32863767526901766,-5.142242439734237,1.7234534488038136,790,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_barack_obama,Independent,treatmentcontrol,10.176474651581954,5.5899154947432805,-1.8205059917545878,0.07009194151036338,-0.8424618703602746,21.19541117352418,212,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_barack_obama,Independent,treatmentfactcheck,-6.770623365202453,5.27172446750733,-1.2843280044193697,0.20042891805775045,-17.16233632101713,3.6210895906122245,212,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_barack_obama,Republican,treatmentcontrol,-0.21389443138985162,2.5960581640605307,0.08239200274900481,0.9343554009543684,-5.309708143622718,4.8819192808430145,808,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_barack_obama,Republican,treatmentfactcheck,2.249622460106257,2.622805450716065,0.857716099183825,0.3913035860957085,-2.898693615899194,7.397938536111708,808,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_donald_trump,Democrat,treatmentcontrol,0.44110574565140004,2.2570911701372216,-0.19543107141063454,0.8451057469068806,-3.989499639659678,4.871711130962478,790,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_donald_trump,Democrat,treatmentfactcheck,0.7013215448409666,2.2997266692473874,0.3049586519212226,0.7604779681761848,-3.812976105302924,5.215619194984857,790,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_donald_trump,Independent,treatmentcontrol,-1.1573823460261354,5.379707145238768,0.21513854096137183,0.8298680958572177,-11.762532421823613,9.447767729771341,210,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_donald_trump,Independent,treatmentfactcheck,5.041658298341251,5.182707400975531,0.9727846679888333,0.33177949611386004,-5.175141297327509,15.25845789401001,210,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_donald_trump,Republican,treatmentcontrol,1.1288073653769244,2.387733083861255,-0.47275274317994764,0.6365169484570403,-3.5580667923563363,5.815681523110185,810,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_donald_trump,Republican,treatmentfactcheck,-0.7214089667643084,2.411879637450606,-0.299106537309154,0.7649354831456493,-5.455680322610364,4.012862389081748,810,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_joe_biden,Democrat,treatmentcontrol,0.9990132211403852,1.9168283077653112,-0.5211803358147715,0.6023873963348834,-2.7636732185346204,4.761699660815391,789,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_joe_biden,Democrat,treatmentfactcheck,0.20299612552675433,1.9282656561478142,0.10527394131589167,0.9161851967005408,-3.5821415454298124,3.9881337964833214,789,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_joe_biden,Independent,treatmentcontrol,-1.5324748105931891,5.604131544321569,0.2734544680961284,0.7847778550944392,-12.581281691933308,9.516332070746929,206,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_joe_biden,Independent,treatmentfactcheck,0.6237725868909093,5.37463224283973,0.11605865456597902,0.9077191160901728,-9.972565710972681,11.2201108847545,206,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_joe_biden,Republican,treatmentcontrol,0.16624676180085568,2.4663394155886915,-0.06740627861278135,0.9462750087713656,-4.674968527618525,5.0074620512202355,805,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_joe_biden,Republican,treatmentfactcheck,0.16376132163177773,2.4587253018944004,0.066604155212297525,0.9469133754768847,-4.6625081077818,4.9900307510453565,805,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_kamala_harris,Democrat,treatmentcontrol,-1.545614498848748,2.1617508413485624,0.7149827210820231,0.47483365927490173,-5.789153023367004,2.6979240256695087,780,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_kamala_harris,Democrat,treatmentfactcheck,1.6451894742958957,2.2262137770520876,0.7390078577603747,0.4601245466826358,-2.724890437800035,6.015269386391827,780,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_kamala_harris,Independent,treatmentcontrol,2.2782337098198706,5.325128072542123,-0.4278270266525781,0.669230573538024,-8.22142168129328,12.777889100933022,203,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_kamala_harris,Independent,treatmentfactcheck,-0.7198334551322205,5.229047601864564,-0.13766052825289707,0.8906451615873565,-11.03004517124119,9.590378260976747,203,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_kamala_harris,Republican,treatmentcontrol,-0.3577338522156661,2.4299040506833376,0.14722139012652133,0.8829945107864625,-5.1275016984308195,4.412033993999486,797,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_kamala_harris,Republican,treatmentfactcheck,0.08239869310465794,2.394322681560659,0.03441419727559408,0.9725554792284059,-4.617524884848981,4.782322271058296,797,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_politifact,Democrat,treatmentcontrol,0.3943114172704303,2.112014783669408,-0.18669917479713607,0.8519504439047687,-3.7523107450360675,4.540933579576928,702,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_politifact,Democrat,treatmentfactcheck,0.6010283028433966,2.170626063824375,0.27689168247821505,0.7819447882243713,-3.660668259098452,4.862724864785245,702,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_politifact,Independent,treatmentcontrol,9.566594179578134,4.870194001711354,-1.9643148047524381,0.051068163878713754,-0.04490115759921309,19.17808951675548,176,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_politifact,Independent,treatmentfactcheck,-2.386452656208661,4.844186196367087,-0.4926426358256809,0.6228791367029073,-11.946620695190328,7.173715382773006,176,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_politifact,Republican,treatmentcontrol,1.0153182209246292,2.2594560063596885,-0.44936401419935335,0.6533058396807554,-3.420674921669928,5.451311363519187,712,thermometer
1,panel_5_lucid,Panel 5 (Lucid),w1_ft_politifact,Republican,treatmentfactcheck,0.5980300222761898,2.2424272696684944,0.2666887039616668,0.7897860700885528,-3.804530577716713,5.000590622269092,712,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_chris_coons,Democrat,treatmentcontrol,2.7177880283603075,2.821731500715833,-0.9631632306868473,0.3361603359971379,-2.8327570750562794,8.268333131776895,335,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_chris_coons,Democrat,treatmentfactcheck,-0.833683129584006,2.779782428298917,-0.29990948971289705,0.7644322005979164,-6.30171144554668,4.634345186378667,335,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_chris_coons,Independent,treatmentcontrol,-10.185908234188773,9.549723217186202,1.0666181629073457,0.29365991894280596,-29.593280807819365,9.22146433944182,34,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_chris_coons,Independent,treatmentfactcheck,-6.172772868560715,10.315373956959466,-0.5984051469502116,0.5535355487596281,-27.13613495415057,14.790589217029142,34,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_chris_coons,Republican,treatmentcontrol,-4.100878826557765,3.024869005674182,1.355721130027501,0.176181121415191,-10.052901483511457,1.8511438303959267,308,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_chris_coons,Republican,treatmentfactcheck,-3.3046781157689495,3.285663313631541,-1.0057872034722852,0.3153074525675934,-9.769864690517089,3.1605084589791903,308,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_donald_trump,Democrat,treatmentcontrol,1.0824839992534692,2.828172817983958,-0.3827503016683082,0.702118351737797,-4.478297418195628,6.643265416702566,381,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_donald_trump,Democrat,treatmentfactcheck,0.756099144081245,2.8478579246684372,0.2654974946368766,0.790769835016953,-4.843387325179215,6.355585613341704,381,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_donald_trump,Independent,treatmentcontrol,10.001111910866342,16.315428599814886,-0.612984933229386,0.5434446687195671,-22.999957374487302,43.002181196219986,39,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_donald_trump,Independent,treatmentfactcheck,-5.836489340918472,13.017094884106283,-0.44837111451378875,0.6563666139937709,-32.166048968257215,20.493070286420274,39,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_donald_trump,Republican,treatmentcontrol,0.6826869500167422,3.1680295486661567,-0.215492608111618,0.8295168032876357,-5.549462943014041,6.914836843047525,329,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_donald_trump,Republican,treatmentfactcheck,-0.8443313389405211,3.212659630647865,-0.2628138165916609,0.7928585857112599,-7.164277559743994,5.475614881862951,329,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_hunter_biden,Democrat,treatmentcontrol,-1.4664090783300578,2.3440910187467203,0.6255768511557545,0.53198562319021,-6.076112450066518,3.1432942934064023,363,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_hunter_biden,Democrat,treatmentfactcheck,1.130784333729723,2.5299051673021227,0.4469670833296828,0.6551653846623968,-3.8443263964505805,6.105895063910027,363,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_hunter_biden,Independent,treatmentcontrol,-15.414667582881082,9.091691008736795,1.6954676053187607,0.09816691579168475,-33.81983380105878,2.9904986352966123,38,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_hunter_biden,Independent,treatmentfactcheck,-7.196404433099694,8.55699302851512,-0.8409968792914249,0.4056108130321713,-24.51913118066111,10.12632231446172,38,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_hunter_biden,Republican,treatmentcontrol,-5.848361479012239,3.2830221500986796,1.7813956810606508,0.07578738443967506,-12.307167854556189,0.6104448965317104,323,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_hunter_biden,Republican,treatmentfactcheck,-0.18216527063634708,3.500864692113462,-0.05203436483755515,0.9585334764267487,-7.069541035877375,6.70521049460468,323,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_joe_biden,Democrat,treatmentcontrol,-2.3855212219020587,2.500143352397815,0.9541537766681156,0.34061396489925155,-7.301410517754096,2.530368073949979,379,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_joe_biden,Democrat,treatmentfactcheck,5.799573458838228,2.650252517183965,2.1883097634034456,0.029256917839794293,0.5885330726801854,11.010613844996271,379,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_joe_biden,Independent,treatmentcontrol,-12.578279164771,11.639000219172466,1.0807009990472634,0.2864679161542057,-36.12037922639701,10.963820896855012,39,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_joe_biden,Independent,treatmentfactcheck,-8.236012586693791,10.374077240556968,-0.7939031487538464,0.4320560503184977,-29.21956442492838,12.747539251540799,39,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_joe_biden,Republican,treatmentcontrol,-3.8942716305938534,3.5721048921023884,1.0901896075906807,0.2764298828418269,-10.921397913513106,3.132854652325399,328,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_joe_biden,Republican,treatmentfactcheck,-0.024032471917750695,4.008142292051927,-0.005995912861029571,0.995219627412617,-7.9089414812892995,7.860876537453799,328,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_politifact,Democrat,treatmentcontrol,-2.8634704138955303,2.5841058183321874,1.1081088063737452,0.26857572638786437,-7.9457993010876145,2.2188584732965535,350,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_politifact,Democrat,treatmentfactcheck,5.142174822052172,2.9267517392754625,1.7569562710245976,0.07979962761187014,-0.6140580708251306,10.898407714929474,350,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_politifact,Independent,treatmentcontrol,8.115744723788367,10.25119959194345,-0.7916873192252188,0.43403180338386016,-12.717199360858743,28.948688808435477,34,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_politifact,Independent,treatmentfactcheck,-26.20813700333355,7.948873077644658,-3.297088373072793,0.0022940093063978356,-42.36219067064034,-10.054083336026764,34,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_politifact,Republican,treatmentcontrol,1.6643367384557073,3.191070599805296,-0.5215606130924391,0.6023511253005175,-4.614720131230689,7.943393608142102,308,thermometer
1,panel_6_mturk,Panel 6 (MTurk),w1_ft_politifact,Republican,treatmentfactcheck,-2.75199432800994,3.275741516304156,-0.8401133954900288,0.40149647362142127,-9.19765782179837,3.6936691657784886,308,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_donald_trump,Democrat,treatmentcontrol,-0.12141682784646625,1.9098944040017063,0.06357253447733427,0.9493227596089222,-3.869081696510086,3.626248040817153,1045,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_donald_trump,Democrat,treatmentfactcheck,-1.5392530039581225,1.903886470563556,-0.8084794066016442,0.41899866967537835,-5.2751288852137215,2.196622877297476,1045,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_donald_trump,Independent,treatmentcontrol,-4.931095715616023,5.135937981031625,0.960115899730071,0.3380051145655839,-15.050597505212874,5.188406073980828,230,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_donald_trump,Independent,treatmentfactcheck,11.394158977756575,5.485617107665846,2.0770970255714474,0.038902972733420776,0.5856732945012393,22.20264466101191,230,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_donald_trump,Republican,treatmentcontrol,-3.007463740778983,2.5277248029178225,1.189790810023063,0.23451124217078012,-7.969851702209677,1.9549242206517108,738,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_donald_trump,Republican,treatmentfactcheck,4.224539584192411,2.4795028094245977,1.7037849556511584,0.08884223941422548,-0.6431797488691098,9.092258917253933,738,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_joe_biden,Democrat,treatmentcontrol,-1.2982791605444999,1.6470699116064165,0.7882356124630224,0.43073852680377644,-4.5302381851112195,1.9336798640222197,1040,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_joe_biden,Democrat,treatmentfactcheck,1.3316650732457662,1.6088334686837185,0.827720891668968,0.40801847355915133,-1.8252645819538598,4.488594728445392,1040,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_joe_biden,Independent,treatmentcontrol,-1.7888261570628683,5.189148206649992,0.34472442987279756,0.7306207213910475,-12.01388449489675,8.436232180771015,227,thermometer
1,panel_7_lucid,Panel 7 (Lucid),w1_ft_joe_biden,Independent,treatmentfactcheck,-3.387429603577779,5.636806678820697,-0.6009483377007492,0.548473974563312,-14.494585312904176,7.719726105748618,227,thermometer
