fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-14.944535921532157,4.635993115966581,-3.223588894052164,0.001505954157663717,-24.093116136024513,-5.795955707039804,178,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-2.657843308941472,5.405644853844876,-0.4916792317665905,0.623669664716988,-13.339468774046683,8.023782156163737,149,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentfactcheck,1.0625565229904006,4.846631267988939,0.21923609704092423,0.8267371046694227,-8.506853404759445,10.631966450740245,165,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentfactcheck,-11.443939619241299,6.772440745606335,-1.6897806934177502,0.09368811127124903,-24.854048702928214,1.966169464445617,119,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentfactcheck,-5.553320050004002,4.10320580430429,-1.3534100688243649,0.1782377792077133,-13.669866699674643,2.5632265996666384,132,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentfactcheck,-2.030917668600622,7.054419066799091,-0.2878929716777006,0.7740624550962589,-16.03763209448095,11.975796757279706,94,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentfactcheck,-1.0512698565768972,3.382520510104877,-0.310794821032527,0.7561878437066974,-7.709668460514779,5.607128747360985,280,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentfactcheck,1.5873611979238416,2.8068199595941046,0.5655372345839348,0.5720903985304345,-3.9340327424924837,7.108755138340166,332,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentfactcheck,-24.778259657803364,3.5531310854719345,-6.973640730317233,1.574773733932096e-11,-31.766713852790215,-17.789805462816513,346,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentfactcheck,-11.123227317073107,3.560675673782513,-3.123909149876849,0.0019602716299594643,-18.130482176818347,-4.1159724573278655,298,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentfactcheck,-2.589038859114175,4.909628733483308,-0.5273390310467102,0.598560714443541,-12.272140207195644,7.094062488967293,194,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentfactcheck,-6.772227964234027,5.897978202702911,-1.1482287203317345,0.25255647237626727,-18.418520937214097,4.874065008746044,163,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-18.144590241885542,2.352128437066131,-7.714115418168978,5.5398477084904896e-14,-22.764574001304936,-13.524606482466147,565,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-11.209295189391105,3.2922645965363677,-3.40473703152045,7.358744710797399e-4,-17.683482805676512,-4.735107573105699,365,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentfactcheck,-11.319591141496629,6.1051623243671465,-1.8541015848698181,0.06622167320112032,-23.40947466974778,0.7702923867545213,118,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentfactcheck,-7.823688600146009,5.750942188941698,-1.3604185789225858,0.17626883991196235,-19.211128517980356,3.563751317688337,119,outcome_w1
