fc,panel,panel_factor,rating,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,treatmentcontrol,8.064020940374647,1.8271250899936702,-4.413502383902234,1.0687008075656703e-5,4.480854411716882,11.647187469032412,2098,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),pants on fire,treatmentfactcheck,-12.023257633282338,1.9249062219992616,-6.246152407775297,5.078380575904719e-10,-15.798182285812134,-8.248332980752542,2098,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),false,treatmentcontrol,7.377116957690499,1.7134449763163506,-4.305429739302276,1.7464623538032694e-5,4.0168110766476115,10.737422838733387,2018,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),false,treatmentfactcheck,-11.59106408088385,1.742209446284224,-6.653083018006369,3.68526749852012e-11,-15.007781121277723,-8.174347040489977,2018,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),false,treatmentcontrol,3.524065004936963,1.5645057680828551,-2.2525100749582734,0.024397321408666284,0.45584614044294947,6.592283869430977,2014,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),false,treatmentfactcheck,-4.690362206172821,1.5459428056511655,-3.033981715900025,0.0024443430704746485,-7.722176454796612,-1.6585479575490307,2014,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,treatmentcontrol,5.454899380587201,1.7164445874128025,-3.1780224194766302,0.0015055969346818364,2.088682416982806,8.821116344191596,1990,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),pants on fire,treatmentfactcheck,-21.152960016749965,1.812352348825846,-11.671549426056231,1.7124976594319435e-30,-24.70726713821756,-17.59865289528237,1990,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),mostly false,treatmentcontrol,7.692427122671209,1.7870527309611117,-4.304532815063645,1.752372511838841e-5,4.187794895859671,11.197059349482746,2046,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),mostly false,treatmentfactcheck,-15.947067370719862,1.801668168943792,-8.851278856787848,1.831783145482837e-18,-19.48036228558511,-12.413772455854616,2046,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),false,treatmentcontrol,-5.621076341023913,1.5238947420709683,3.6886250643432805,2.3029789118904435e-4,-8.60930827359458,-2.6328444084532445,2489,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),false,treatmentfactcheck,-7.870867622979521,1.5208632967132152,-5.175263049604456,2.4576106138895714e-7,-10.8531551411692,-4.888580104789842,2489,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,treatmentcontrol,6.650292680189524,1.8960521421467136,-3.5074418748104947,4.630204792076701e-4,2.9317148779646263,10.36887048241442,1888,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),pants on fire,treatmentfactcheck,-10.190634901828538,1.55613037451585,-6.548702517935936,7.460022183954315e-11,-13.24255090108527,-7.1387189025718065,1888,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),false,treatmentcontrol,-5.929696229322255,2.4396107807693164,2.4305910910314807,0.01529694954211468,-10.718619782346153,-1.1407726762983579,786,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),false,treatmentfactcheck,-3.368643423820221,2.5954656532527847,-1.2978955894093402,0.1947039562795827,-8.463508021035706,1.7262211733952633,786,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),false,treatmentcontrol,12.444653001023529,1.843014726972452,-6.752335083869106,1.8793626817519676e-11,8.830315387113018,16.05899061493404,2088,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),false,treatmentfactcheck,-11.27437094793388,1.9350978643040717,-5.826253625673105,6.5494830116184405e-9,-15.069292874055119,-7.479449021812642,2088,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,treatmentcontrol,5.78003560600394,1.9287623287640987,-2.9967588643789194,0.00276188562762837,1.9974655717720484,9.562605640235832,2021,outcome_w1
3,panel_1_lucid,Panel 1 (Lucid),pants on fire,treatmentfactcheck,-10.119993655476808,1.8832742609687918,-5.373616506748673,8.607476075983874e-8,-13.813355289279244,-6.426632021674372,2021,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,treatmentcontrol,2.8715487757813944,1.6625824678201417,-1.7271617085836122,0.08429179495404447,-0.3890105347054753,6.132108086268264,2016,outcome_w1
3,panel_1_mturk,Panel 1 (MTurk),pants on fire,treatmentfactcheck,-3.916573584157329,1.6439368804658523,-2.3824355002288566,0.017290757307036247,-7.140566261334733,-0.6925809069799245,2016,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),false,treatmentcontrol,2.0317342831120864,2.008175124651738,-1.0117316254798416,0.31178938569260833,-1.906612005526529,5.970080571750701,1990,outcome_w1
3,panel_2_mturk,Panel 2 (MTurk),false,treatmentfactcheck,-9.539671988054947,1.9523216689866436,-4.886321828823696,1.1095149798786929e-6,-13.36848089266466,-5.710863083445233,1990,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),false,treatmentcontrol,0.44011945516808726,1.729575266306458,-0.25446678369075604,0.7991606727100908,-2.951803181532608,3.8320420918687828,2035,outcome_w1
3,panel_3_lucid,Panel 3 (Lucid),false,treatmentfactcheck,-14.666090896932825,1.751458833254221,-8.373642941800203,1.0253609120100207e-16,-18.100930062071388,-11.231251731794263,2035,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),false,treatmentcontrol,3.0889741062362894,1.3632572236984823,-2.265877673368186,0.023544282725140205,0.41574118816479144,5.762207024307788,2493,outcome_w1
3,panel_4_mturk,Panel 4 (MTurk),false,treatmentfactcheck,-3.717156687704247,1.3851718585257478,-2.6835346566024336,0.0073329962483177115,-6.433362364099979,-1.0009510113085143,2493,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),false,treatmentcontrol,10.152140084279107,1.9280587341544995,-5.265472417639324,1.5571294458561335e-7,6.3707992330283965,13.933480935529818,1895,outcome_w1
3,panel_5_lucid,Panel 5 (Lucid),false,treatmentfactcheck,-16.66582656651973,1.9934941030140358,-8.360108284906419,1.1967021762258365e-16,-20.575500351307202,-12.756152781732258,1895,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),false,treatmentcontrol,-2.2275074174707514,2.748243166031005,0.8105204972410441,0.4178864236360027,-7.622272242658385,3.167257407716882,786,outcome_w1
3,panel_6_mturk,Panel 6 (MTurk),false,treatmentfactcheck,-20.269288601744485,2.929392214184234,-6.919281243255779,9.41995082083089e-12,-26.01964660193657,-14.518930601552398,786,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,treatmentcontrol,3.075807070866215,1.8041088707058885,-1.7048899436222784,0.0883627169246345,-0.46221857069347516,6.613832712425905,2102,outcome_w1
3,panel_7_lucid,Panel 7 (Lucid),pants on fire,treatmentfactcheck,-12.390941924983354,1.8845107963035816,-6.575150404703364,6.113463658182394e-11,-16.086643236240356,-8.695240613726352,2102,outcome_w1
