term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,dv,fc,topic_short_2
treatmentcontrol,0.6450313377861213,1.405269320714461,-0.45900905134552944,0.6462774460488481,-2.1109104204421234,3.400973096014366,2004,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (MTurk)
treatmentfactcheck,0.23956032126180976,1.4255892375942096,0.16804302034861462,0.8665663914609134,-2.5562318105760675,3.0353524530996867,2004,w1_ft_antifa,w1_ft_antifa,2,Antifa start West Coast wildfires (MTurk)
treatmentcontrol,-0.9419659903454538,1.5152201411089572,0.6216693962740286,0.5342304171458261,-3.9135484483125462,2.0296164676216386,1992,w1_ft_donald_trump,w1_ft_donald_trump,2,Trump holds Bible upside down
treatmentfactcheck,3.145230967872059,1.4839199294039003,2.1195422377914404,0.03416804914101599,0.23503309522689264,6.055428840517226,1992,w1_ft_donald_trump,w1_ft_donald_trump,2,Trump holds Bible upside down
treatmentcontrol,-1.2702936553893815,1.510401665819225,0.8410303591001328,0.40043171846695835,-4.232423625483511,1.6918363147047475,1995,w1_ft_joe_biden,w1_ft_joe_biden,2,Obama failed to nominate US judges
treatmentfactcheck,2.2877469981036396,1.5544369229900905,1.4717528670786881,0.14124534719969753,-0.7607428840314201,5.336236880238699,1995,w1_ft_joe_biden,w1_ft_joe_biden,2,Obama failed to nominate US judges
treatmentcontrol,-0.19526377940771647,1.2525826676548044,0.15588893607581727,0.8761332743041885,-2.6514813799275463,2.2609538211121136,2476,w1_ft_the_world_health_organization_(who),w1_ft_the_world_health_organization_(who),2,WHO: children to be vaccinated without parents' consent
treatmentfactcheck,1.145378627889495,1.2648724094813677,0.9055289840333632,0.365273317176797,-1.3349382045291498,3.62569546030814,2476,w1_ft_the_world_health_organization_(who),w1_ft_the_world_health_organization_(who),2,WHO: children to be vaccinated without parents' consent
treatmentcontrol,-2.8712593029343685,1.7993278660693899,1.5957399188212429,0.11071869216008057,-6.400199714254286,0.6576811083855487,1839,w1_ft_joe_biden,w1_ft_joe_biden,2,Biden and Obama plotted to have Seal Team 6 murdered
treatmentfactcheck,3.276579963927537,1.4341621166369418,2.2846649802820047,0.02244592166811201,0.4638226309129232,6.08933729694215,1839,w1_ft_joe_biden,w1_ft_joe_biden,2,Biden and Obama plotted to have Seal Team 6 murdered
