fc,panel,panel_factor,lucid_pid_3,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentfactcheck,-16.00095849476263,3.043685874729242,-5.2570991729512935,1.879246395231693e-7,-21.975512188357868,-10.026404801167395,800,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentcontrol,12.446176251953013,2.7035078814129316,-4.603713692688878,4.804889642380172e-6,7.139603603717584,17.752748900188443,824,outcome_w1
1,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentfactcheck,-10.943316962730204,2.8245154353211044,-3.8744050841011304,1.1536893913271105e-4,-16.48740893917391,-5.399224986286498,824,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentcontrol,-4.58971371870362,3.9410464547836654,1.164592645979242,0.24491260338780427,-12.338638307649642,3.1592108702424015,381,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-3.6819220499891294,3.569698819678918,-1.0314377307383893,0.3029898893008377,-10.700699239323214,3.336855139344956,381,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentcontrol,-1.3102775159548457,3.9697798000200057,0.3300630216185398,0.7415636923159492,-9.119807398895121,6.499252366985429,327,outcome_w1
1,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-3.128966344785294,4.267632170007325,-0.7331855746086765,0.46397052831780505,-11.524444844852603,5.266512155282015,327,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentcontrol,9.555168563133174,2.472151358269715,-3.8651227932180245,1.1778059958250909e-4,4.704302066919475,14.406035059346873,1060,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentfactcheck,-7.5792877621389225,2.64060111430145,-2.8702887842808336,0.0041824893684604516,-12.760687126049538,-2.3978883982283072,1060,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentcontrol,5.162882349746066,2.9729589462499613,-1.7366140747615892,0.08286265688594735,-0.6733537337391766,10.999118433231308,756,outcome_w1
1,panel_7_lucid,Panel 7 (Lucid),Republican,treatmentfactcheck,-19.71250457043457,3.126436326550198,-6.305103482528279,4.894626766302279e-10,-25.850033151092333,-13.57497598977681,756,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentcontrol,4.042061187662705,2.3575726357040767,-1.7145012316685484,0.08678602740334716,-0.5850100362994688,8.66913241162488,887,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),Democrat,treatmentfactcheck,-9.304757062662565,2.441629938138159,-3.81087932996014,1.4803121640018024e-4,-14.096802684175156,-4.512711441149975,887,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentcontrol,9.802195255177786,2.896649924117243,-3.383976494213402,7.480177242139821e-4,4.116554708487043,15.487835801868528,828,outcome_w1
2,panel_1_lucid,Panel 1 (Lucid),Republican,treatmentfactcheck,-15.269082281847133,2.7531540147919156,-5.546032731845253,3.9318875094418544e-8,-20.67306429826416,-9.865100265430108,828,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentcontrol,2.077396656143917,2.367832457761148,-0.8773410674960314,0.3805436146934599,-2.569935005093418,6.724728317381253,870,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),Democrat,treatmentfactcheck,-3.003777622004941,2.416409420561683,-1.2430747854420825,0.2141751713156725,-7.746451019305448,1.7388957752955663,870,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentcontrol,5.389803228585846,2.0066938514928587,-2.685912066046427,0.007347981620041856,1.4521905593410849,9.327415897830607,1044,outcome_w1
2,panel_1_mturk,Panel 1 (MTurk),Republican,treatmentfactcheck,-5.58720308868685,1.9643632817364423,-2.8442819821738463,0.004538073723889489,-9.441753068700159,-1.7326531086735395,1044,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentcontrol,8.363556132120744,2.480508231654913,-3.3717106943607504,7.769027449072459e-4,3.495699278979581,13.231412985261906,958,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),Democrat,treatmentfactcheck,-27.710921204994904,2.5789095763983494,-10.745208540306942,1.657259914722777e-25,-32.7718851215414,-22.649957288448405,958,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentcontrol,1.8738885815499247,2.3730889512083366,-0.7896411049386802,0.42994747959242563,-2.7836070465923477,6.531384209692197,891,outcome_w1
2,panel_2_mturk,Panel 2 (MTurk),Republican,treatmentfactcheck,-11.840670894202386,2.5943191765537956,-4.56407638705856,5.720568863732193e-6,-16.932359605092252,-6.748982183312519,891,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentcontrol,2.492094183030211,2.819881351478999,-0.8837585247064147,0.37706713446937423,-3.0423578292731164,8.026546195333538,883,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),Democrat,treatmentfactcheck,-11.797759012295558,2.7340406136709854,-4.315136707663883,1.7752551098679538e-5,-17.163735338964102,-6.431782685627013,883,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentcontrol,11.363706057368095,2.6573084771537694,-4.276397021673489,2.1161373890200236e-5,6.14800644573714,16.57940566899905,845,outcome_w1
2,panel_3_lucid,Panel 3 (Lucid),Republican,treatmentfactcheck,-17.349124239895367,2.912834315843034,-5.956097175020466,3.787205149806112e-9,-23.066363672390764,-11.631884807399969,845,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentcontrol,-8.733346682496213,1.9933870441508976,4.381159548579421,1.271821654725711e-5,-12.643819440862902,-4.822873924129524,1350,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),Democrat,treatmentfactcheck,-8.924385932839163,1.9062013881851565,-4.6817644705084565,3.130538421517024e-6,-12.663824604486589,-5.184947261191738,1350,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentcontrol,-0.7941601321599164,2.5340014082057483,0.3134016143748862,0.7540468282739003,-5.7672755831348566,4.1789553188150235,917,outcome_w1
2,panel_4_mturk,Panel 4 (MTurk),Republican,treatmentfactcheck,-7.468635221489177,2.6527859657260957,-2.8153930690163813,0.004976172910649534,-12.674871820869452,-2.2623986221089014,917,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentcontrol,-0.22043082282817036,2.6716902285670914,0.08250613056529166,0.9342646523158965,-5.4646933145460865,5.023831668889746,809,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),Democrat,treatmentfactcheck,-8.161118930307492,2.093566314515586,-3.8981898369891517,1.0494224419637604e-4,-12.270581614170617,-4.0516562464443675,809,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentcontrol,14.590715305431235,3.171253509598809,-4.600929967051763,4.871337367386955e-6,8.365984834418366,20.815445776444104,820,outcome_w1
2,panel_5_lucid,Panel 5 (Lucid),Republican,treatmentfactcheck,-13.722622576438912,2.5562360504185357,-5.368292405621965,1.0354768640410141e-7,-18.740159139182783,-8.705086013695041,820,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentcontrol,-3.092115468501492,3.275637544192705,0.9439736316319324,0.3457797706825605,-9.53265273861196,3.348421801608976,382,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),Democrat,treatmentfactcheck,-8.674490959198556,3.513914661380953,-2.468611732246656,0.014000758640186699,-15.583527149950015,-1.7654547684470954,382,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentcontrol,-6.099242130367741,4.065867795545138,1.5001083254724898,0.13454826627680055,-14.097710067890795,1.8992258071553128,328,outcome_w1
2,panel_6_mturk,Panel 6 (MTurk),Republican,treatmentfactcheck,-2.923790034797206,4.001495440790943,-0.7306743386465747,0.4654996860413554,-10.795623206642823,4.948043137048412,328,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentcontrol,7.780567586865185,2.5629222695729927,-3.035818791399203,0.0024572427026064154,2.751606224805407,12.809528948924964,1063,outcome_w1
2,panel_7_lucid,Panel 7 (Lucid),Democrat,treatmentfactcheck,-8.279198732781522,2.710354929822607,-3.0546548135389027,0.0023093255910309972,-13.597452189534646,-2.960945276028397,1063,outcome_w1
