fc,panel_factor,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome
1,Panel 5 (Lucid),control,0.00392502494019563,0.04594780038980913,0.08542356558740014,0.9319324460668943,-0.08618067189139281,0.09403072177178406,2196,political_knowledge_pre
1,Panel 5 (Lucid),factcheck,-0.03821030827217646,0.04587186761360517,-0.8329791277310811,0.4049470838595841,-0.12816709752485644,0.05174648098050352,2196,political_knowledge_pre
1,Panel 5 (Lucid),control,0.18124712731729298,0.06350031568266058,2.854271279895139,0.004354020702238207,0.0567201609539366,0.30577409368064934,2196,political_interest_pre
1,Panel 5 (Lucid),factcheck,0.11292325175192955,0.06291629925609592,1.794817131444496,0.0728203162871876,-0.01045843221204619,0.23630493571590527,2196,political_interest_pre
1,Panel 5 (Lucid),control,0.013152855014877068,0.04469684028230108,0.29426811675735604,0.7685808454902835,-0.07449965295371344,0.10080536298346757,2196,cognitive_reflection_pre
1,Panel 5 (Lucid),factcheck,0.009820552197427153,0.043771668900156574,0.2243586421122733,0.8224991211427786,-0.07601765320674149,0.0956587576015958,2196,cognitive_reflection_pre
1,Panel 5 (Lucid),control,-0.05138917942790044,0.24177134535003156,-0.21255281246625918,0.8316955078724881,-0.5255136285170227,0.4227352696612218,2196,need_for_cognition_pre
1,Panel 5 (Lucid),factcheck,-0.2797463497847176,0.23838871595416494,-1.1734882192935023,0.24072733728482062,-0.7472373109538135,0.18774461138437842,2196,need_for_cognition_pre
1,Panel 5 (Lucid),control,0.06981165527711253,0.1406775880668634,0.49625285901213617,0.619765686869286,-0.20606340280647928,0.34568671336070433,2196,extraversion_pre
1,Panel 5 (Lucid),factcheck,-0.07601944339544867,0.13777255218644358,-0.5517749521876736,0.5811586933106034,-0.346197595857764,0.19415870906686664,2196,extraversion_pre
1,Panel 5 (Lucid),control,-7.157047981038789e-4,0.10421015833026658,-0.006867898576985572,0.9945208766553111,-0.20507649799423353,0.20364508839802578,2196,agreeableness_pre
1,Panel 5 (Lucid),factcheck,-0.11983758108923331,0.10219001216567464,-1.1726936767063665,0.24104585958423735,-0.3202367770746597,0.0805616148961931,2196,agreeableness_pre
1,Panel 5 (Lucid),control,0.013827842890782451,0.10829053517919005,0.12769207269962515,0.8984043553030453,-0.1985347522673248,0.22619043804888972,2196,conscientiousness_pre
1,Panel 5 (Lucid),factcheck,-0.08855195064402455,0.1055377698735793,-0.8390545939155093,0.40153000018563223,-0.2955162496057617,0.11841234831771266,2196,conscientiousness_pre
1,Panel 5 (Lucid),control,0.023436029241873695,0.1294473666137309,0.1810467826032064,0.8563475626656546,-0.23041606101686465,0.27728811950061205,2196,emotional_stability_pre
1,Panel 5 (Lucid),factcheck,0.0358958406060903,0.13154469458284573,0.2728794248975462,0.7849715605604207,-0.22206920384279866,0.29386088505497926,2196,emotional_stability_pre
1,Panel 5 (Lucid),control,-0.16817126831787252,0.11018411095601975,-1.526275130404224,0.12708536445874644,-0.3842472504809538,0.04790471384520878,2196,openness_to_experience_pre
1,Panel 5 (Lucid),factcheck,7.064156259932261e-4,0.10475956642518314,0.006743208759819866,0.9946203511051579,-0.2047317914793418,0.20614462273132825,2196,openness_to_experience_pre
1,Panel 6 (MTurk),control,0.0337411939191687,0.14830045017423285,0.22751916045789067,0.8200493231677459,-0.2571437764315574,0.32462616426989477,1590,lucid_pid_7n
1,Panel 6 (MTurk),factcheck,0.011292599314377925,0.1498172510960778,0.07537582776189093,0.9399251733027247,-0.28256751096788885,0.3051527095966447,1590,lucid_pid_7n
1,Panel 6 (MTurk),control,0.9532049722362858,0.705904617340132,1.3503311195611503,0.17710196218569257,-0.4313966486231374,2.337806593095709,1590,lucid_age
